tweet,time
Trump is wrong about what is causing the devastating fires in California.  ,2018-11-13 23:59:59
#CampFireJamesWoods #CampFire well that's just lovely ,2018-11-13 23:59:52
Shivering horse found waiting out Camp Fire in backyard pool  via @SFGate,2018-11-13 23:59:47
@leahstokes Watch &amp; share this video to learn about the potential dangers of the smoke from the #WoolseyFire. It started at a former nuclear testing site which parents believe has given 50+ children cancer – and now the chemicals from that site could be in the smoke: ,2018-11-13 23:59:39
"“Burned out of Paradise” - Chris Hughes, born and brought up in the city of Paradise, Calif., has no home left after the #CampFire. But he’s not giving up hope. #ParadiseStrong ",2018-11-13 23:59:36
"Here's what new vegetation types have burned in the Camp Fire and Woolsey &amp; Hill Fires. It's not just about forest management, or even just about forests, and there are no easy solutions here. #CampFire #WoolseyFire (updated tweet with a repaired version of the Woolsey Map) ",2018-11-13 23:59:31
"The lawsuit is one of what will likely be multiple legal attempts to hold PG&amp;E responsible for the historic #campfire disaster, reports @thejdmorris.",2018-11-13 23:59:28
An important message related to the #WoolseyFire - Kindly share...#Chatsworth #WestHills #WoodlandHills #BellCanyon #SantaSusana #SantaSusanaPass #SimiValley #SanFernandoValley #SFV #LosAngelesCounty #VenturaCounty ,2018-11-13 23:59:26
Owners search4pets lost in CA wildfires   No one is forced2leave their pets behind. DO NOT leave them. Period!Rescue groups will help evacuate  animals. don't leave them to die a horrible death.  #WoolseyFire #MalibuFire #CaWildfire #DontLeaveAnimalsBehind,2018-11-13 23:59:25
Can't see much of the sun with all the smoke &amp; high clouds around.  #abc7now #whereyoulive #CampFire ,2018-11-13 23:59:22
Toyota offers to give Camp Fire hero nurse a new truck,2018-11-13 23:59:16
"New satellite imagery from @DigitalGlobe shows the extent of the #WoolseyFire, one of the largest fires to hit L.A. County: ",2018-11-13 23:59:11
"After the flames, California recovery crews face grim search for victims: In California, the effort to control two major wildfires remains a struggle. Northern California's Camp Fire has become the deadliest fire in the state's history, claiming at least…  ",2018-11-13 23:59:09
"@dogruphus Follow link and click on ""shelters"".  Hope that helps. #CampFire ",2018-11-13 23:59:08
@shakeshack in #WestlakeVillage is donating 100% of proceeds to the @vccfoundation in order to help those affected by events in #ThousandOaks! #WoolseyFire #ThousandOaksStrong @ Shake Shack ,2018-11-13 23:59:07
#CampFire #campfireparadise #CampFireJamesWoods  Used scrubs are needed. See video for more info. Thank you! ,2018-11-13 23:59:01
Pls share #CampFire #CampFirePets ,2018-11-13 23:58:41
Help support the BCSO staff that lost their homes in the #CampFire ,2018-11-13 23:58:40
"Gracias, amiga, for your help w/videos! I'm overwhelmed by the kind notes I've received from the community &amp; colleagues for the story I wrote about John Warner's agonizing search for his grandparents after #CampFire. I hope the story gives people searching for loved ones hope.❤️ ",2018-11-13 23:58:39
.@AmberInteriors is hosting a donation drive. They’re also accepting @amazon shipments #WoolseyFire #MadeForGiving ,2018-11-13 23:58:34
Gonna name my next rescue dog “Fozcheck.” #WoolseyFire #LakeSherwood,2018-11-13 23:58:34
"California Wildfires Updates: 42 Dead in Camp Fire, Toll Expected to Rise. 200 in Paradise UNACCOUNTED FOR. ",2018-11-13 23:58:32
#CampFire poses no threat to #OrovilleDam. Details at --&gt; ,2018-11-13 23:58:22
Garbageman pulls 93-year-old into truck as Camp Fire spreads ,2018-11-13 23:58:18
#CampFire So FEMA opens up for applications today. My daughter completes her application only to find out that if you have any sort of insurance even partial renters insurance (what she had) FEMA will refuse any sort of assistance.,2018-11-13 23:58:18
#WoolseyFire My home in Malbu has burned down from the southern california fires. My family and I are safe ,2018-11-13 23:58:16
Horse found in swimming pool after seeking refuge from Camp Fire ,2018-11-13 23:58:09
