tweet,time
'He can kiss my red ass': California fire evacuees give Trump visit short shrift ,2018-11-18 23:59:57
Horrific story ,2018-11-18 23:59:44
This article had my anxiety running high and the tears falling hard. I can't imagine the fear and desperation. I can't imagine the horror. I am so sorry California. The entire country is here to lift you up #WoolseyFire #CampFire ,2018-11-18 23:59:44
"If you’re missing #CampFire pets, a number of entities are doing rescues. Animals in shelter at the Chico Airport are being listed here: ",2018-11-18 23:59:40
"Paradise, California, Victims Burned Alive in Cars as They Fled  via @thedailybeast",2018-11-18 23:59:35
"A candle of hope, remembrance &amp; love. Sending Aloha from Maui. #ParadiseStrong #ParadiseProud #paradisefire #CampFire #ParadiseCA #Magalia  ",2018-11-18 23:59:31
"People From Finland Collectively Said ""Excuse Me?"" After Trump Said The Country Rakes Its Forest To Prevent Fires  via @remysmidt",2018-11-18 23:59:28
93-year-old self-evacuating from the Camp Fire rescued by her garbageman ,2018-11-18 23:59:19
People In Finland Are Confused By Trump Saying They Rake Their Forests ,2018-11-18 23:59:13
‘Hell on Earth’: The First 12 Hours of California’s Deadliest Wildfire ,2018-11-18 23:59:11
California fire: What started as a tiny brush fire became the state’s deadliest wildfire. Here’s how - Los Angeles Times ,2018-11-18 23:59:10
Day 11: Camp Fire containment up to 60 percent,2018-11-18 23:59:08
Her missing uncle may have died in a California wildfire. Her family can only wait for 'good or bad news': Sadia Quint has every indication her uncle has perished in the Camp Fire. But no one can tell her for sure.  ,2018-11-18 23:59:04
Sac state is closed for a second week due to #CampFire and the bad air quality.,2018-11-18 23:59:04
The #CampFire Animals need help too. ,2018-11-18 23:59:00
Camp Fire Survivors Are Now Refugees In Their Own Country ,2018-11-18 23:58:50
"@jaydeegee8 Btw, this is especially annoying when we have our own homeless Caravan from people displaced by the Camp Fire 🔥. Those folks, many Senior citizens are being thrown out of their temp camp in the Chico Walmart. Sickening and where’s our CA leadership for that??? Unreal",2018-11-18 23:58:46
"@notchyourniche #CampFire is 500 miles north of LA, for what it's worth - the Hill Fire and Woolsey Fire were awful in their own ways, but the Camp Fire is the one that has 76 confirmed fatalities and destroyed over 10,000 buildings.",2018-11-18 23:58:43
"Gosh, there’s something in my eye again.  ",2018-11-18 23:58:39
"Help if you can, because help is needed!!#CampFire #CaliforniaFires ",2018-11-18 23:58:36
Camp Fire 11/8-11/18see active fires at  ,2018-11-18 23:58:18
CA: Camp Fire death toll rises to 76 ,2018-11-18 23:58:14
Eyewitness barely makes it out alive in California Fire Storm By American Intelligence Media,2018-11-18 23:58:12
